Numero;Punto;Nord;Est;Latitudine;Longitudine;Proiezione;Province
1;Vercelli (Punto Ideale);5033316.62;1437864.36;45.45042576;8.20503948;+proj=cass +lat_0=45.45042576 +lon_0=8.20503948 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Biella, Novara (parte), Verbano Cusio Ossola, Vercelli
2;Pordenone;5091681.44;2338704.15;45.95458397;12.66047164;+proj=cass +lat_0=45.95458397 +lon_0=12.66047164 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Belluno (gran parte), Udine (parte), Venezia (parte)
3;Monte Bronzone;5062219.67;1577145.63;45.70905303;9.99074064;+proj=cass +lat_0=45.70905303 +lon_0=9.99074064 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Sondrio, Bergamo, Brescia, Cremona
4;Lodi;5017990.42;1539453.24;45.31413505;9.50297431;+proj=cass +lat_0=45.31413505 +lon_0=9.50297431 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Como, Milano, Parma (parte), Piacenza (parte)
5;Alessandria;4973570.2;1469349.75;44.91472668;8.61134796;+proj=cass +lat_0=44.91472668 +lon_0=8.61134796 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Alessandria (parte), Asti (parte)
6;Monte Bignone;4858622.59;1398286.99;43.87352936;7.73372694;+proj=cass +lat_0=43.87352936 +lon_0=7.73372694 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Imperia
7;Forte Diamante;4923110.92;1495211.83;44.46112587;8.93946834;+proj=cass +lat_0=44.46112587 +lon_0=8.93946834 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Genova (gran parte), La Spezia (gran parte), Savona, Parma (gran parte)
8;Portonovo;4934722.35;1718797.19;44.53248216;11.75335874;+proj=cass +lat_0=44.53248216 +lon_0=11.75335874 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Bologna, Ferrara, Forlì, Rimini, Ravenna, Rovigo
9;Siena (Torre del Mangia);4798817.15;1689143.93;43.31828703;11.33221016;+proj=cass +lat_0=43.31828703 +lon_0=11.33221016 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Arezzo, Firenze, Grosseto, Livorno (gran parte), Lucca (parte), Pisa (gran parte), Pistoia, Siena
10;Urbino;4844075.8;2329619.57;43.72514932;12.63626776;+proj=cass +lat_0=43.72514932 +lon_0=12.63626776 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs;Pesaro, Urbino
